AnimationName,DisplayName,en,zh-Hant,ja,ko,fr,hu,es,zh-Hans,de,ru
ANIM/Alert-Bits,Alert Bits,Alert Bits,警報位,ビッツアラート,경고 비트,Bits d'alerte,Figyelmeztető bitek,Alerta de Bits,通知/提示 Bits,Alert Bits,Биты оповещений
ANIM/Alert-Donation,Alert Donation,Alert Donation,警報捐贈,寄付アラート,알림 기부,Alerte Don,Figyelmeztető adományozás,Alerta de donación,通知/提示 硬币,Alert Spende,Оповещение о пожертвовании
ANIM/Alert-Heart,Alert Heart,Alert Heart,警惕之心,ハートアラート,경고 심장,Coeur d'alerte,Figyelmes szív,Alerta de corazón,通知/提示 爱心/喜欢,Alert Herz,Бдительное сердце
ANIM/Alert-Like,Alert Like,Alert Like,提醒喜歡,いいねアラート,좋아요 알림,Alerte J'aime,Alert Like,Alerta de Like,通知/提示 点赞,Alert Like,Оповещение лайком
ANIM/Alert-Star,Alert Star,Alert Star,警報星,星アラート,경고 스타,Étoile d'alerte,Figyelmeztető csillag,Alerta de estrella,通知/提示 星星/收藏,Alert Stern,Тревога Звезда
ANIM/Angry,Angry,Angry,生氣的,怒り顔,화난,En colère,Dühös,Enojado,生气,Wütend,Злой
ANIM/Arrive,Arrive,Arrive,到達,登場,도착하다,Arriver,Megérkezik,Llegando,到达,Ankommen,Приезжать
ANIM/Arrive-Chopstick,Arrive (with Chopstick),Arrive (with Chopstick),到達（用筷子）,登場（箸）,도착(젓가락 사용),Arriver (avec une baguette),Érkezés (pálcikával),Llegando(con palillos),到达(拿筷子),Ankommen (Essstäbchen),Прибытие (с палочками для еды)
ANIM/Arrive-Spoon,Arrive (with Spoon),Arrive (with Spoon),到達（用湯匙）,登場（スプーン）,도착 (스푼 포함),Arriver (avec une cuillère),Érkezés (kanállal),Llegando(con cuchara),到达(拿勺子),Ankommen (Löffel),Прибытие (с ложкой)
ANIM/Bonk,Bonk,Bonk,邦克,ボンク,봉크,Bonk,Bonk,Bonk,敲头,Bonk,Бонк
ANIM/Copium,Copium,Copium,科皮姆,コピウム（現実逃避）,코피움,Copie,Copium,Copium,自我安慰,Copium,Копиум
ANIM/Crowbar-1,Crowbar 1,Crowbar 1,撬棍1,バール1,크로우바 1,Pied de biche 1,Vargavas 1,Palanca 1,撬棍 1,Brecheisen 1,Лом 1
ANIM/Crowbar-2,Crowbar 2,Crowbar 2,撬棍2,バール2,크로우바 2,Pied de biche 2,Vargavas 2,Palanca 2,撬棍 2,Brecheisen 2,Лом 2
ANIM/Crowbar-3,Crowbar 3,Crowbar 3,撬棍3,バール3,크로우바 3,Pied de biche 3,Vargavas 3,Palanca 3,撬棍 3,Brecheisen 3,Лом 3
ANIM/Cry-1,Cry 1,Cry 1,哭泣1,泣き顔1,울다 1,Pleurer 1,Sírás 1,Llorar 1,哭 1,Weinen 1,Плачь 1
ANIM/Cry-2,Cry 2,Cry 2,哭泣2,泣き顔2,울다 2,Pleurer 2,Sírás 2,llorar 2,哭 2,Weinen 2,Плачь 2
ANIM/Cry-3,Cry 3,Cry 3,哭泣3,泣き顔3,울다 3,Pleurer 3,Sírás 3,Llorar 3,哭 3,Weinen 3,Плачь 3
ANIM/Dead,Dead,Dead,死的,ダウン,죽은,Mort,Halott,Muerto,死亡,Tot,Мертвый
ANIM/Dizzy,Dizzy,Dizzy,暈眩的,目まわし,어지러운,Vertigineux,Szédül,Mareado,头晕,Schwindlig,Испытывающий головокружение
ANIM/Drink-BeverageCup,Drink (Beverage Cup),Drink (Beverage Cup),飲料（飲料杯）,ドリンク（カップ）,음료(음료컵),Boisson (tasse de boisson),Ital (italos csésze),Bebiendo (Vaso de bebida),喝(饮料杯),Getränk (Becher),Напиток (Чашка для напитков)
ANIM/Drive,Drive,Drive,駕駛,ドライブ,운전하다,Conduire,Hajtás,Conduciendo,驾驶,Fahren,Водить машину
ANIM/Drooling-Chopstick,Drooling (Chopstick),Drooling (Chopstick),流口水（筷子）,よだれ（箸）,침흘림(젓가락),Baver (baguette),Nyálcsorgatás (evőpálcika),Babeando (palillo),馋(筷子),Sabbern (Essstäbchen),Слюни (Палочки для еды)
ANIM/Drooling-ForkKnife,Drooling (Fork&Knife),Drooling (Fork&Knife),流口水（刀叉）,よだれ（フォーク＆ナイフ）,침흘림(포크&나이프),Bave (Fourchette et Couteau),Nyálcsorgatás (villa és kés),Babeando (tenedor y cuchillo),馋(刀叉),Sabbern (Gabel&Messer),Слюни (вилка и нож)
ANIM/Dum-1,Dum 1,Dum 1,達姆 1,ほげ1,덤 1,Doum 1,Dum 1,Tonto 1,呆 1,Dum 1,Дум 1
ANIM/Dum-2,Dum 2,Dum 2,達姆2,ほげ2,덤 2,Doum 2,Dum 2,Tonto 2,呆 2,Dum 2,Дум 2
ANIM/Dum-3,Dum 3,Dum 3,達姆3,ほげ3,덤 3,Doum 3,Dum 3,Tonto 3,呆 3,Dum 3,Дум 3
ANIM/Dum-Sticker-1,Dum Sticker 1,Dum Sticker 1,達姆貼紙 1,ほげステッカー1,덤 스티커 1,Autocollant Dum 1,Dum matrica 1,"Post-it ""Dumb"" 1",呆(贴纸) 1,Dum-Aufkleber 1,Дум стикер 1
ANIM/Dum-Sticker-2,Dum Sticker 2,Dum Sticker 2,達姆貼紙 2,ほげステッカー2,덤 스티커 2,Autocollant Dum 2,Dum matrica 2,"Post-it ""Dumb"" 2",呆(贴纸) 2,Dum-Aufkleber 2,Дум стикер 2
ANIM/Dum-Sticker-3,Dum Sticker 3,Dum Sticker 3,達姆貼紙 3,ほげステッカー3,덤 스티커 3,Autocollant Dum 3,Dum matrica 3,"Post-it ""Dumb""3",呆(贴纸) 3,Dum-Aufkleber 3,Дум Стикер 3
ANIM/Exclamation,Exclamation,Exclamation,驚嘆,びっくり,감탄,Exclamation,Felkiáltás,Exclamación,叹号,Ausrufezeichen,восклицательный знак
ANIM/Jail-1,Jail 1,Jail 1,監獄 1,牢屋1,감옥 1,Prison 1,Börtön 1,Cárcel 1,坐牢 1,Gefängnis 1,Тюрьма 1
ANIM/Jail-2,Jail 2,Jail 2,監獄2,牢屋2,감옥 2,Prison 2,Börtön 2,Cárcel 2,坐牢 2,Gefängnis 2,Тюрьма 2
ANIM/Knife-1,Knife 1,Knife 1,刀1,ナイフ1,칼 1,Couteau 1,Kés 1,Cuchillo 1,刀 1,Messer 1,Нож 1
ANIM/Knife-2,Knife 2,Knife 2,刀2,ナイフ2,칼 2,Couteau 2,Kés 2,Cuchillo 2,刀 2,Messer 2,Нож 2
ANIM/Laugh,Laugh,Laugh,笑,笑い顔,웃다,Rire,Nevetés,Riendo,笑,Lachen,Смех
ANIM/Lick,Lick,Lick,舔,ぺろり,핥다,Lécher,Nyalás,Lamiendo,舔舔,Lecken,Лизать
ANIM/Lightstick-1,Lightstick 1,Lightstick 1,螢光棒1,ペンライト1,응원봉 1,Bâton lumineux 1,Lightstick 1,Lightstick 1,荧光棒 1,Leuchtstab 1,Лайтстик 1
ANIM/Lightstick-2,Lightstick 2,Lightstick 2,螢光棒2,ペンライト2,응원봉 2,Bâton lumineux 2,Lightstick 2,Lightstick 2,荧光棒 2,Leuchtstab 2,Лайтстик 2
ANIM/Lurk-1,Lurk 1,Lurk 1,潛伏1,ちらっ1,러크 1,Cachez-vous 1,Lappangás 1,Lurkeo 1,冒泡 1,Lurken 1,Скрываться 1
ANIM/Lurk-2,Lurk 2,Lurk 2,潛伏2,ちらっ2,러크 2,Cachez-vous 2,Lappangás 2,Lurkeo 2,冒泡 2,Lurken 2,Скрываться 2
ANIM/Luv-1,Luv 1,Luv 1,愛1,ラブ1,러브 1,Amour 1,Luv 1,Amor 1,爱心 1,Liebe 1,любовь 1
ANIM/Luv-2,Luv 2,Luv 2,愛2,ラブ2,러브 2,Amour 2,Luv 2,Amor 2,爱心 2,Liebe 2,любовь 2
ANIM/Luv-3,Luv 3,Luv 3,愛3,ラブ3,러브 3,Amour 3,Luv 3,Amor 3,爱心 3,Liebe 3,любовь 3
ANIM/Money,Money,Money,錢,お金,돈,Argent,Pénz,Dinero,钱,Geld,Деньги
ANIM/Mute-1,Mute 1,Mute 1,靜音1,ミュート1,음소거 1,Muet 1,Némítás 1,Muteado 1,静音 1,Stumm 1,Отключить звук 1
ANIM/Mute-2,Mute 2,Mute 2,靜音2,ミュート2,음소거 2,Muet 2,Némítás 2,Muteado 2,静音 2,Stumm 2,Без звука 2
ANIM/Nervous-1,Nervous 1,Nervous 1,緊張1,ドキドキ1,긴장 1,Nerveux 1,Ideges 1,Nervioso 1,紧张 1,Nervös 1,Нервный 1
ANIM/Nervous-2,Nervous 2,Nervous 2,緊張2,ドキドキ2,긴장 2,Nerveux 2,Ideges 2,Nervioso 2,紧张 2,Nervös 2,Нервный 2
ANIM/Noted-1,Noted 1,Noted 1,註 1,了解1,주목 1,Noté 1,Megjegyezte 1,Anotando 1,记录 1,Notiz 1,Отмечено 1
ANIM/Noted-2,Noted 2,Noted 2,註2,了解2,주목2,Noté 2,Megjegyezte 2,Anotando 2,记录 2,Notiz 2,Отмечено 2
ANIM/Pat,Pat,Pat,拍,なでなで,가볍게 두드리기,Tapoter,Pat,Palmadita,摸头,Streicheln,Пэт
ANIM/Point,Point,Point,觀點,指さし,가리키다,Indiquer,Pont,Apuntar,指,Zeigen,Точка
ANIM/Question,Question,Question,問題,はてな,질문,Question,Kérdés,Pregunta,问号,Frage,Вопрос
ANIM/Raid-1,Raid 1,Raid 1,突襲1,レイド1,레이드 1,Raid 1,Raid 1,Raid 1,Raid 1,Raid 1,Рейд 1
ANIM/Raid-2,Raid 2,Raid 2,突襲2,レイド2,레이드 2,Raid 2,Raid 2,Raid 2,Raid 2,Raid 2,Рейд 2
ANIM/RedPacket-1,RedPacket 1,RedPacket 1,紅包1,お年玉1,레드패킷 1,Paquet rouge 1,RedPacket 1,Sobre rojo 1,红包 1,Glücksumschlag 1,РедПакет 1
ANIM/RedPacket-2,RedPacket 2,RedPacket 2,紅包2,お年玉2,레드패킷 2,Paquet rouge 2,RedPacket 2,Sobre rojo 2,红包 2,Glücksumschlag 2,РедПакет 2
ANIM/Rose,Rose,Rose,玫瑰,バラ,장미,Rose,Rózsa,Rosa,玫瑰,Rose,Роза
ANIM/Score-0Point,Score (0 Point),Score (0 Point),得分（0 分）,採点（0点）,점수(0점),Score (0 point),Pontszám (0 pont),Puntuación (0 puntos),得分(0分),Punkte (0),Оценка (0 очков)
ANIM/Score-10Point,Score (10 Point),Score (10 Point),得分（10 分）,採点（10点）,점수(10점),Score (10 points),Pontszám (10 pont),Puntuación (10 puntos),得分(10分),Punkte (10),Оценка (10 баллов)
ANIM/Shy-1,Shy 1,Shy 1,害羞1,照れ顔1,수줍음 1,Timide 1,Félénk 1,Tímido 1,害羞 1,Schüchtern 1,Застенчивый 1
ANIM/Shy-2,Shy 2,Shy 2,害羞2,照れ顔2,수줍음 2,Timide 2,Félénk 2,Tímido 2,害羞 2,Schüchtern 2,Застенчивый 2
ANIM/Sleep-Normal,Sleep (Normal),Sleep (Normal),睡眠（正常）,寝る（通常）,수면(일반),Sommeil (normal),Alvás (normál),Dormir (Normal),睡觉(普通),Schlaf (Normal),Сон (нормальный)
ANIM/Sleep-Preparing-Stage1,Sleep (Preparing Stage 1),Sleep (Preparing Stage 1),睡眠（準備階段 1）,寝る（準備1）,수면(1단계 준비),Sommeil (étape de préparation 1),Alvás (1. előkészítési szakasz),Dormir (Preparación 1),睡觉(准备阶段1),Schlaf (Vorbereitung 1),Сон (подготовительный этап 1)
ANIM/Sleep-Preparing-Stage2,Sleep (Preparing Stage 2),Sleep (Preparing Stage 2),睡眠（準備階段 2）,寝る（準備2）,수면(2단계 준비),Sommeil (étape de préparation 2),Alvás (2. előkészítési szakasz),Dormir (Preparación 2),睡觉(准备阶段2),Schlaf (Vorbereitung 2),Сон (подготовительный этап 2)
ANIM/Sleep-UU,Sleep (UU),Sleep (UU),睡眠（UU）,寝る（すやすや）,수면(UU),Sommeil (UU),Alvás (UU),Dormir (UU),睡觉 (UU),Schlaf (UU),Сон (УУ)
ANIM/Sparkling,Sparkling,Sparkling,閃閃發光,キラキラ,스파클링,Pétillant,Szikrázó,Centelleante,期待,Funkeln,Игристый
ANIM/Surprise,Surprise,Surprise,驚喜,びっくり顔,놀라다,Surprendre,Meglepetés,Sorpresa,惊吓,Überraschung,Сюрприз
ANIM/Sweat,Sweat,Sweat,汗,冷や汗,땀,Transpirer,Izzad,Sudor,汗,Schweiß,Пот
ANIM/ThumbDown,Thumb Down,Thumb Down,拇指向下,よくないね,아래로 엄지손가락,Pouce vers le bas,Lefelé hüvelykujj,Pulgar hacia abajo,反向点赞,Daumen runter,Большой палец вниз
ANIM/ThumbUp,Thumb Up,Thumb Up,豎起大拇指,いいね,엄지손가락을 위로,Pouce vers le haut,Menj fel,Pulgar hacia arriba,点赞,Daumen hoch,Большой палец вверх
ANIM/Type-Angry,Type Angry,Type Angry,類型憤怒,タイピング（怒り）,화난 유형,Tapez en colère,Írd be: Dühös,Escribiendo enojado,打字(生气),Tippen Wütend,Тип Злой
ANIM/Type-Annoyed,Type Annoyed,Type Annoyed,類型惱怒,タイピング（イライラ）,짜증나는 유형,Type Ennuyé,Típus Bosszús,Escribiendo molesto,打字(恼怒),Tippen Genervt,Тип Раздраженный
ANIM/Type-Normal,Type Normal,Type Normal,類型 正常,タイピング（通常）,유형 일반,Type Normal,Normál típus,Escribiendo normal,打字(普通),Tippen Normal,Тип Нормальный
ANIM/Work-Angry,Work Angry,Work Angry,憤怒地工作,作業（怒り）,화가 나서 일하다,Travailler en colère,Work Angry,Trabajando enojado,工作(生气),Arbeit Wütend,Работа Злой
ANIM/Work-Nap,Work Nap,Work Nap,工作午睡,作業（居眠り）,일하다 낮잠,Sieste de travail,Munkaszünet,Dormido trabajando,工作(小睡),Arbeit Nickerchen,Рабочий сон
ANIM/Work-Normal,Work Normal,Work Normal,工作正常,作業（通常）,정상근무,Travail normal,Normál munkavégzés,Trabajando Normal,工作(普通),Arbeit Normal,Работает нормально
ANIM/Work-Tired,Work Tired,Work Tired,工作累,作業（疲れ）,일하다 피곤하다,Travailler fatigué,Munka fáradt,Trabajando cansado,工作(疲倦),Arbeit Müde,Усталость от работы
ANIM/Bell,Bell,Bell,,,,,,,摇铃,,
ANIM/Cake,Cake,Cake,,,,,,,蛋糕,,
ANIM/Caught-Phone,Caught in 4K (Phone),Caught in 4K (Phone),,,,,,,抓拍(手机),,
ANIM/Caught-VideoCamera,Caught in 4K (Video Camera),Caught in 4K (Video Camera),,,,,,,抓拍(摄像机),,
ANIM/Celebration,Celebration,Celebration,,,,,,,庆祝,,
ANIM/Head-Nod,Head Nod,Head Nod,,,,,,,点头,,
ANIM/Head-Shake,Head Shake,Head Shake,,,,,,,摇头,,
ANIM/Hypnosis,Hypnosis,Hypnosis,,,,,,,催眠,,
ANIM/Laugh-Point,Laugh (Point),Laugh (Point),,,,,,,笑(指),,
ANIM/LoveLetter,Love Letter,Love Letter,,,,,,,情书,,
ANIM/NeedFood,Need Food,Need Food,,,,,,,要米,,
ANIM/PNGTuber-Idle,PNGTuber Idle,PNGTuber Idle,,,,,,,PNGTuber 闲置,,
ANIM/PNGTuber-Idle2,PNGTuber Idle 2,PNGTuber Idle 2,,,,,,,PNGTuber 闲置 2,,
ANIM/PNGTuber-Talk,PNGTuber Talk,PNGTuber Talk,,,,,,,PNGTuber 说话,,
ANIM/PNGTuber-Talk2,PNGTuber Talk 2,PNGTuber Talk 2,,,,,,,PNGTuber 说话 2,,
ANIM/PNGTuber-Yap,PNGTuber Yap,PNGTuber Yap,,,,,,,PNGTuber 说教,,
ANIM/Popcat-Frame,Popcat Frame,Popcat Frame,,,,,,,Popcat 帧,,
ANIM/Popcat-Smooth,Popcat Smooth,Popcat Smooth,,,,,,,Popcat 平滑,,
ANIM/Sing,Sing,Sing,,,,,,,唱歌,,
ANIM/Tablet,Tablet,Tablet,,,,,,,画板,,
ANIM/TailWag,Tail Wag,Tail Wag,,,,,,,雨刮器尾巴,,
