Key,en,de,reviewed
Hair Ahoge,Hair Ahoge,Haare Ahoge,True
Hair Ahoge Outline,Hair Ahoge Outline,Haar-Ahoge-Umriss,True
Animal Ear >>,Animal Ear >>,Tierohr >>,True
Animal Ear >> Fur,Animal Ear >> Fur,Tierohr >> Fell,True
Animal Ear >> Fur Outline,Animal Ear >> Fur Outline,Tierohr >> Fellumriss,True
Animal Ear >> Outline,Animal Ear >> Outline,Tierohr >> Umriss,True
Animal Ear <<,Animal Ear <<,Tierohr <<,True
Animal Ear << Fur,Animal Ear << Fur,Tierohr << Fell,True
Animal Ear << Fur Outline,Animal Ear << Fur Outline,Tierohr << Fellumriss,True
Animal Ear << Outline,Animal Ear << Outline,Tierohr << Umriss,True
Antenna >>,Antenna >>,Antenne >>,True
Antenna >> Outline,Antenna >> Outline,Antenne >> Umriss,True
Antenna <<,Antenna <<,Antenne <<,True
Antenna << Outline,Antenna << Outline,Antenne << Umriss,True
Hair Rear,Hair Rear,Haare hinten,True
Hair Rear Outline,Hair Rear Outline,Haare hinten Umriss,True
Beverage Cup,Beverage Cup,Getränkebecher,True
Beverage Liquid,Beverage Liquid,Becherflüssigkeit,True
Beverage Liquid 2,Beverage Liquid 2,Becherflüssigkeit 2,True
Bill,Bill,Schnabel,True
Blanket Inner,Blanket Inner,Decke innen,True
Blanket Outter,Blanket Outter,Decke außen,True
Face Blush,Face Blush,Gesichtsröte,True
Brow >>,Brow >>,Augenbraue >>,True
Brow <<,Brow <<,Augenbraue <<,True
Chopstick,Chopstick,Stäbchen,True
Crowbar,Crowbar,Brecheisen,True
Cup,Cup,Tasse,True
Cup Steam,Cup Steam,Tasse Dampf,True
Door/Wall,Door/Wall,Tür/Wand,True
Eye(Dum) Pupil >>,Eye(Dum) Pupil >>,Auge(Dum) Pupille >>,False
Eye(Dum) Pupil <<,Eye(Dum) Pupil <<,Auge(Dum) Pupille <<,False
Eyebag,Eyebag,Tränensack,True
Eye Iris Dark >>,Eye Iris Dark >>,Augeniris dunkel >>,True
Eye Iris Dark <<,Eye Iris Dark <<,Augeniris dunkel <<,True
Eye Dollar,Eye Dollar,Augendollar,True
Eye Heart,Eye Heart,Augenherz,True
Eye Highlight,Eye Highlight,Augen-Highlight,True
Eyelashes,Eyelashes,Wimpern,True
Eye Iris Light >>,Eye Iris Light >>,Augeniris hell >>,True
Eye Iris Light <<,Eye Iris Light <<,Augeniris hell <<,True
Eye(Dum) Outline,Eye(Dum) Outline,Augen(Dum)-Umriss,False
Eye Sparkling,Eye Sparkling,Augenfunkeln,True
Eye Spiral,Eye Spiral,Augenspirale,True
Eye White,Eye White,Augenweiß,True
Face Shadow,Face Shadow,Gesichtsschatten,True
Fin >>,Fin >>,Flosse >>,True
Fin >> Outline,Fin >> Outline,Flosse >> Umriss,True
Fin <<,Fin <<,Flosse <<,True
Fin << Outline,Fin << Outline,Flosse << Umriss,True
Hair Framing >>,Hair Framing >>,Seitensträhnen >>,True
Hair Framing >> Outline,Hair Framing >> Outline,Seitensträhnen >> Umriss,True
Hair Framing <<,Hair Framing <<,Seitensträhnen <<,True
Hair Framing << Outline,Hair Framing << Outline,Seitensträhnen << Umriss,True
Gill,Gill,Kieme,True
Gill Outline,Gill Outline,Kiemen-Umriss,True
Glasses,Glasses,Brille,True
Hairband A,Hairband A,Haarband A,True
Hairband A Outline,Hairband A Outline,Haarband A Umriss,True
Hairband B,Hairband B,Haarband B,True
Hairband B Outline,Hairband B Outline,Haarband B Umriss,True
Hairband C,Hairband C,Haarband C,True
Hairband C Outline,Hairband C Outline,Haarband C Umriss,True
Hairband D,Hairband D,Haarband D,True
Hairband D Outline,Hairband D Outline,Haarband D Umriss,True
Hair Bang >>,Hair Bang >>,Pony >>,True
Hair Bang >> Outline,Hair Bang >> Outline,Pony >> Umriss,True
Hair Bang ><,Hair Bang ><,Pony ><,True
Hair Bang >< Outline,Hair Bang >< Outline,Pony >< Umriss,True
Hair Bang <<,Hair Bang <<,Pony <<,True
Hair Bang << Outline,Hair Bang << Outline,Pony << Umriss,True
Hair Clip >>,Hair Clip >>,Haarspange >>,True
Hair Clip >> Outline,Hair Clip >> Outline,Haarspange >> Umriss,True
Hair Clip <<,Hair Clip <<,Haarspange <<,True
Hair Clip << Outline,Hair Clip << Outline,Haarspange << Umriss,True
Hair Highlight 1 >>,Hair Highlight 1 >>,Haar-Highlight 1 >>,True
Hair Highlight 1 >> Outline,Hair Highlight 1 >> Outline,Haar-Highlight 1 >> Umriss,True
Hair Highlight 2 >>,Hair Highlight 2 >>,Haar-Highlight 2 >>,True
Hair Highlight 2 >> Outline,Hair Highlight 2 >> Outline,Haar-Highlight 2 >> Umriss,True
Hair Highlight 3 >>,Hair Highlight 3 >>,Haar-Highlight 3 >>,True
Hair Highlight 3 >> Outline,Hair Highlight 3 >> Outline,Haar-Highlight 3 >> Umriss,True
Hair Highlight 1 ><,Hair Highlight 1 ><,Haar-Highlight 1 ><,True
Hair Highlight 1 >< Outline,Hair Highlight 1 >< Outline,Haar-Highlight 1 >< Umriss,True
Hair Highlight 2 ><,Hair Highlight 2 ><,Haar-Highlight 2 ><,True
Hair Highlight 2 >< Outline,Hair Highlight 2 >< Outline,Haar-Highlight 2 >< Umriss,True
Hair Highlight 3 ><,Hair Highlight 3 ><,Haar-Highlight 3 ><,True
Hair Highlight 3 >< Outline,Hair Highlight 3 >< Outline,Haar-Highlight 3 >< Umriss,True
Hair Highlight 4 ><,Hair Highlight 4 ><,Haar-Highlight 4 ><,True
Hair Highlight 4 >< Outline,Hair Highlight 4 >< Outline,Haar-Highlight 4 >< Umriss,True
Hair Highlight 5 ><,Hair Highlight 5 ><,Haar-Highlight 5 ><,True
Hair Highlight 5 >< Outline,Hair Highlight 5 >< Outline,Haar-Highlight 5 >< Umriss,True
Hair Highlight 6 ><,Hair Highlight 6 ><,Haar-Highlight 6 ><,True
Hair Highlight 6 >< Outline,Hair Highlight 6 >< Outline,Haar-Highlight 6 >< Umriss,True
Hair Highlight 1 <<,Hair Highlight 1 <<,Haar-Highlight 1 <<,True
Hair Highlight 1 << Outline,Hair Highlight 1 << Outline,Haar-Highlight 1 << Umriss,True
Hair Highlight 2 <<,Hair Highlight 2 <<,Haar-Highlight 2 <<,True
Hair Highlight 2 << Outline,Hair Highlight 2 << Outline,Haar-Highlight 2 << Umriss,True
Hair Highlight 3 <<,Hair Highlight 3 <<,Haar-Highlight 3 <<,True
Hair Highlight 3 << Outline,Hair Highlight 3 << Outline,Haar-Highlight 3 << Umriss,True
Hairline Outline,Hairline Outline,Haarlinien-Umriss,True
Hair Shine,Hair Shine,Haarglanz,True
Hair Shine Outline,Hair Shine Outline,Haarglanz Umriss,True
Halo,Halo,Heiligenschein,True
Halo Outline,Halo Outline,Halo-Umriss,True
Hat,Hat,Hut,True
Hat Outline,Hat Outline,Hut-Umriss,True
Hat Secondary,Hat Secondary,Hut Sekundär,True
Hat Secondary Outline,Hat Secondary Outline,Hut Sekundär Umriss,True
Hammer,Hammer,Hammer,True
Ear Wing >>,Ear Wing >>,Ohrflügel >>,True
Ear Wing >> Outline,Ear Wing >> Outline,Ohrflügel >> Umriss,True
Ear Wing <<,Ear Wing <<,Ohrflügel <<,True
Ear Wing << Outline,Ear Wing << Outline,Ohrflügel << Umriss,True
Heart,Heart,Herz,True
Horn >>,Horn >>,Horn >>,True
Horn >> Outline,Horn >> Outline,Horn >> Umriss,True
Horn <<,Horn <<,Horn <<,True
Horn << Outline,Horn << Outline,Horn << Umriss,True
Horn ><,Horn ><,Horn ><,True
Horn >< Outline,Horn >< Outline,Horn >< Umriss,True
Jail Grill,Jail Grill,Gefängnis,True
Keyboard,Keyboard,Tastatur,True
Kitchen Knife,Kitchen Knife,Küchenmesser,True
Laptop,Laptop,Laptop,True
Laptop Light,Laptop Light,Laptop-Licht,False
Leg >>,Leg >>,Bein >>,True
Leg <<,Leg <<,Bein <<,True
Lightstick Handle,Lightstick Handle,Leuchtstabgriff,True
Light Stick >>,Light Stick >>,Leuchtstab >>,True
Light Stick <<,Light Stick <<,Leuchtstab <<,True
Mecha,Mecha,Mecha,True
Mecha >>,Mecha >>,Mecha >>,True
Mecha >> Outline,Mecha >> Outline,Mecha >> Umriss,True
Mecha Outline,Mecha Outline,Mecha-Umriss,True
Mecha <<,Mecha <<,Mecha <<,True
Mecha << Outline,Mecha << Outline,Mecha << Umriss,True
Mouse,Mouse,Maus,True
Mouth/Tongue,Mouth/Tongue,Mund/Zunge,True
Mouth/Tongue Shadow,Mouth/Tongue Shadow,Mund-/Zungenschatten,True
Notepad,Notepad,Notizblock,True
Outfit Collar,Outfit Collar,Outfit-Kragen,True
Outfit Collar Outline,Outfit Collar Outline,Outfit-Kragen-Umriss,True
Outfit Inner,Outfit Inner,Outfit innen,True
Outfit Inner Outline,Outfit Inner Outline,Outfit innen Umriss,True
Outfit Neckwear A,Outfit Neckwear A,Outfit Krawatte A,True
Outfit Neckwear A Outline,Outfit Neckwear A Outline,Outfit Krawatte A Umriss,True
Outfit Neckwear B,Outfit Neckwear B,Outfit Krawatte B,True
Outfit Neckwear B Outline,Outfit Neckwear B Outline,Outfit Krawatte B Umriss,True
Outfit Neckwear C,Outfit Neckwear C,Outfit Krawatte C,True
Outfit Neckwear C Outline,Outfit Neckwear C Outline,Outfit Krawatte C Umriss,True
Outfit Outer,Outfit Outer,Äußeres Outfit,True
Outfit Outer Outline,Outfit Outer Outline,Outfit außen Umriss,True
Pencil,Pencil,Bleistift,True
Phone,Phone,Telefon,True
Phone Light,Phone Light,Telefonlicht,False
Hair Pigtail >>,Hair Pigtail >>,Haarzopf >>,True
Hair Pigtail >> Outline,Hair Pigtail >> Outline,Haarzopf >> Umriss,True
Hair Pigtail <<,Hair Pigtail <<,Haarzopf <<,True
Hair Pigtail << Outline,Hair Pigtail << Outline,Haarzopf << Umriss,True
Rose,Rose,Rose,True
Round Sign,Round Sign,Rundes Schild,True
Round Sign Text,Round Sign Text,Rundes Schild Text,True
Hair Side,Hair Side,Haarseite,True
Hair Side Outline,Hair Side Outline,Haarseite Umriss,True
Skin,Skin,Haut,True
Skin Outline,Skin Outline,Hautumriss,True
Square Sign,Square Sign,Quadratisches Schild,True
Square Sign Text,Square Sign Text,Quadratisches Schild Text,True
Steering Wheel,Steering Wheel,Lenkrad,True
Gas Bottle,Gas Bottle,Gasflasche,True
Pat Hand,Pat Hand,Streichelhand,True
Sticker Alert,Sticker Alert,Aufkleber-Alert,True
Sticker Alert Effect,Sticker Alert Effect,Aufkleber-Alert Effekt,True
Sticker Alert Outline,Sticker Alert Outline,Aufkleber-Alert Umriss,True
Sticker Angry,Sticker Angry,Aufkleber Wütend,True
Sticker Exclamation Mark,Sticker Exclamation Mark,Aufkleber Ausrufezeichen,True
Sticker Ghost,Sticker Ghost,Aufkleber Geist,True
Sticker Heart,Sticker Heart,Aufkleber Herz,True
Sticker Laugh,Sticker Laugh,Aufkleber Lachen,True
Sticker Question Mark,Sticker Question Mark,Aufkleber Fragezeichen,True
Sticker Sleep,Sticker Sleep,Aufkleber Schlaf,True
Sticker Star,Sticker Star,Aufkleber Stern,True
Sticker Steam,Sticker Steam,Aufkleber Dampf,True
Sticker Surprise,Sticker Surprise,Aufkleber Überraschung,True
Sticker Sweat,Sticker Sweat,Aufkleber Schweiß,True
Sticker Sweat (Large),Sticker Sweat (Large),Aufkleber Schweiß (Groß),True
Sticker Volume,Sticker Volume,Aufkleber Lautstärke,True
Sticky Note,Sticky Note,Haftnotiz,True
Sticky Note Text,Sticky Note Text,Haftnotiz Text,True
Eye Tear,Eye Tear,Augentränen,True
Utensil,Utensil,Utensil,True
Outfit Collar String,Outfit Collar String,Outfit-Kragenschnur,True
